#timebase=20000000000(ps)
,#voltbase=500000(mv/100)
#size=40064
2.72E-02,3.000
2.72E-02,3.000
2.72E-02,3.020
2.73E-02,3.000
2.73E-02,3.000
2.73E-02,3.020
2.73E-02,3.000
2.74E-02,3.000
2.74E-02,3.020
2.74E-02,3.020
2.74E-02,3.040
2.75E-02,3.040
2.75E-02,3.020
2.75E-02,3.040
2.76E-02,3.000
2.76E-02,3.020
2.76E-02,3.020
2.76E-02,3.020
2.77E-02,3.020
2.77E-02,3.020
2.77E-02,3.020
2.77E-02,3.020
2.78E-02,3.000
2.78E-02,3.020
2.78E-02,3.020
2.78E-02,3.020
2.78E-02,3.020
2.79E-02,3.000
2.79E-02,3.000
2.79E-02,3.020
2.79E-02,3.000
2.80E-02,3.000
2.80E-02,3.020
2.80E-02,3.020
2.80E-02,3.020
2.81E-02,3.020
2.81E-02,3.040
2.81E-02,3.040
2.82E-02,3.000
2.82E-02,3.000
2.82E-02,3.020
2.82E-02,3.020
2.83E-02,3.020
2.83E-02,3.020
2.83E-02,3.020
2.83E-02,3.000
2.84E-02,3.020
2.84E-02,3.040
2.84E-02,3.040
2.84E-02,3.000
2.84E-02,3.020
2.85E-02,2.980
2.85E-02,3.020
2.85E-02,3.020
2.85E-02,3.020
2.86E-02,3.020
2.86E-02,3.000
2.86E-02,3.020
2.86E-02,3.020
2.87E-02,3.020
2.87E-02,3.020
2.87E-02,3.020
2.88E-02,3.020
2.88E-02,3.000
2.88E-02,3.020
2.88E-02,3.040
2.89E-02,3.040
2.89E-02,3.040
2.89E-02,3.000
2.89E-02,3.000
2.90E-02,3.020
2.90E-02,3.040
2.90E-02,3.040
2.90E-02,3.000
2.90E-02,3.020
2.91E-02,3.020
2.91E-02,2.980
2.91E-02,3.020
2.91E-02,3.020
2.92E-02,3.020
2.92E-02,3.000
2.92E-02,3.000
2.93E-02,3.020
2.93E-02,3.000
2.93E-02,3.020
2.93E-02,3.020
2.94E-02,3.020
2.94E-02,3.000
2.94E-02,3.020
2.94E-02,3.040
2.95E-02,3.040
2.95E-02,3.040
2.95E-02,3.040
2.95E-02,3.000
2.95E-02,3.020
2.96E-02,3.020
2.96E-02,3.020
2.96E-02,3.000
2.96E-02,3.020
2.97E-02,3.000
2.97E-02,3.020
2.97E-02,3.020
2.97E-02,3.020
2.98E-02,3.020
2.98E-02,3.000
2.98E-02,3.020
2.99E-02,3.040
2.99E-02,3.040
2.99E-02,3.040
2.99E-02,3.000
3.00E-02,3.000
3.00E-02,3.020
3.00E-02,3.040
3.00E-02,3.000
3.01E-02,3.000
3.01E-02,3.020
3.01E-02,3.020
3.01E-02,3.020
3.01E-02,3.020
3.02E-02,3.020
3.02E-02,3.020
3.02E-02,3.000
3.02E-02,3.000
3.03E-02,3.000
3.03E-02,3.040
3.03E-02,3.040
3.03E-02,3.000
3.04E-02,3.020
3.04E-02,3.020
3.04E-02,3.020
3.05E-02,3.020
3.05E-02,3.020
3.05E-02,3.020
3.05E-02,3.060
3.06E-02,3.000
3.06E-02,3.000
3.06E-02,3.020
3.06E-02,3.020
3.07E-02,3.020
3.07E-02,3.000
3.07E-02,3.000
3.07E-02,3.040
3.07E-02,3.040
3.08E-02,3.040
3.08E-02,3.000
3.08E-02,3.000
3.08E-02,3.020
3.09E-02,3.020
3.09E-02,3.020
3.09E-02,3.020
3.09E-02,3.020
3.10E-02,3.000
3.10E-02,3.020
3.10E-02,3.020
3.11E-02,3.020
3.11E-02,3.020
3.11E-02,3.000
3.11E-02,3.000
3.12E-02,3.040
3.12E-02,3.000
3.12E-02,3.020
3.12E-02,2.980
3.12E-02,3.000
3.13E-02,3.020
3.13E-02,3.040
3.13E-02,3.000
